Date,Equal-Weight,Value-Weight
9/1/2015,293.387166,85.50279983
10/1/2015,308.1295193,91.939967
11/1/2015,314.93965,92.42360376
12/1/2015,301.363248,90.49751048
1/1/2016,273.4418829,85.2766063
2/1/2016,274.297183,85.28325165
3/1/2016,296.9502612,91.21871265
4/1/2016,307.8688655,91.9453184
5/1/2016,309.493457,93.53745775
6/1/2016,309.0969048,93.67000723
7/1/2016,327.1700565,97.4009423
8/1/2016,333.8337522,97.81747135
9/1/2016,341.1046677,98.07790735
10/1/2016,322.8996071,95.92463821
11/1/2016,350.2265801,100.163263
12/1/2016,356.6960263,101.9375443
1/1/2017,363.1697694,104.1488719
2/1/2017,370.1803355,107.8667496
3/1/2017,372.2197341,108.0577065
4/1/2017,372.4742916,109.2561297
5/1/2017,364.6664162,110.3565636
6/1/2017,377.738601,111.3713161
7/1/2017,377.9378902,113.4458923
8/1/2017,372.1051364,113.6471326
9/1/2017,397.0053892,116.4280777
10/1/2017,397.1152286,118.9649304
11/1/2017,410.2095892,122.5635246
12/1/2017,416.4512203,123.9499979
1/1/2018,428.1813486,130.5862814
2/1/2018,410.8979824,125.7392577
3/1/2018,414.9285167,123.2852576
4/1/2018,418.3723265,123.7003739
5/1/2018,439.4126548,127.183998
6/1/2018,444.3294858,128.0791066
7/1/2018,445.8587927,132.2669997
8/1/2018,461.2626527,136.8884005
9/1/2018,454.252339,137.1158615
10/1/2018,409.157386,126.6819244
11/1/2018,408.2290647,129.0549635
12/1/2018,356.6139946,117.0588481
1/1/2019,407.0729113,127.3649248
2/1/2019,427.275396,131.8197676
3/1/2019,422.6525353,133.6506407
4/1/2019,432.5529514,138.9837016
5/1/2019,398.5793966,130.0707168
6/1/2019,419.9651044,139.0881094
7/1/2019,416.0227591,140.951222
8/1/2019,394.6311432,137.8264661
9/1/2019,403.2943551,140.0113781
10/1/2019,404.6397588,142.8881699
11/1/2019,420.3818666,148.4118936
12/1/2019,442.0956078,152.6503393
1/1/2020,437.2466116,152.6305831
2/1/2020,405.7028692,140.513484
3/1/2020,313.0760601,121.1831733
4/1/2020,371.9290441,137.348023
5/1/2020,399.9454991,145.0552272
6/1/2020,429.1973057,148.6972303
7/1/2020,445.3865448,157.2214895
8/1/2020,465.784708,168.8583701
9/1/2020,453.7898679,162.9339159
10/1/2020,457.0274641,159.4122985
11/1/2020,549.7245971,179.3933601
12/1/2020,600.3826593,187.6279344
1/1/2021,662.0036068,187.4635673
2/1/2021,716.7789622,192.8342299
3/1/2021,724.9130465,198.8030221
4/1/2021,734.7281792,208.8119563
5/1/2021,742.4775153,209.5803462
6/1/2021,764.2832036,215.1160773
7/1/2021,733.9384909,218.1285179
8/1/2021,751.1416359,224.5185204
9/1/2021,729.8610581,214.6253581
10/1/2021,747.8709523,229.1324407
11/1/2021,706.8237804,225.3427898
12/1/2021,702.3855754,233.0658577
1/1/2022,640.1836403,218.3524825
2/1/2022,635.7667618,213.2724859
3/1/2022,648.5399392,220.4216887
4/1/2022,578.0533826,200.1213209
5/1/2022,563.531955,199.1316599
6/1/2022,522.2168775,182.403221
7/1/2022,564.7940321,199.8916371
8/1/2022,561.0085674,192.5868301
9/1/2022,497.1605206,174.8363697
10/1/2022,530.9672976,188.9925262
11/1/2022,533.0099189,198.451403
12/1/2022,499.267578,186.5789391
1/1/2023,577.5432027,199.7666095
2/1/2023,555.0046519,195.1275166
3/1/2023,518.7486085,200.4133983
4/1/2023,507.82387,202.3486547
5/1/2023,506.1275113,203.221899
6/1/2023,535.9730079,217.1412157
7/1/2023,563.3386045,225.0310176
8/1/2023,524.1583868,220.7119716
9/1/2023,487.4225033,210.113525
10/1/2023,447.5576182,204.1404837
11/1/2023,487.2634239,223.0353608
12/1/2023,545.0258763,235.0773173
